Year,Month,Date,Name,Text,Link
2025,march,24,Short news: Week 12,"informmix have swapped Mercenaries-bound Paul ""PerX"" von Erdmannsdorff for Alexander ""Altekz"" Givskov in Astana's fourth open qualifier, making them:",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Florian ""syrsoN"" Rische
Nils ""k1to"" Gruhne
Alexander ""Altekz"" Givskov
Aleksandar ""CacaNito"" Kjulukoski
Mikkel ""MistR"" Thomsen",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Conner ""Scrawny"" Girvan has defended BLAST's decision to air the Danny ""zonic"" Srensen timeout clip, blasting the Saudi organization as ""soft.""",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Shortly after FaZe's exit from BLAST Open Lisbon at the hands of Spirit, Finn ""karrigan"" Andersen took to socials to lament his team's struggles during the event.",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,The Danish skipper wrote on social media that he let his team down after Falcons were eliminated from BLAST Open Lisbon in a tough three map series against Virtus.pro that went the distance with several overtimes on the final two maps and all 24 rounds played on the first.,https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"SemperFi have shot up in the VRS ranking and now sit less than 100 points behind FlyQuest after winning the $12,541 DFRAG invitational.",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"They did so with a lower-bracket run after losing to ex-TALON in the opening round, playing three best-of-threes in a day against Housebets, Rooster, and the grudge match against ex-TALON in the grand final.",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Argentine side KR have announced the signing of former FURIA player Lucas ""honda"" Cano. The 24-year-old Brazilian had been plying his trade with the team since the beginning of March, playing his first officials since August 2024.",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Elite Esports Group, an investor network featuring Swedish veteran and former NIP and SK player Dennis ""walle"" Wallenberg, has announced its backing of Johnny Speeds:",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"GTZ have announced the addition of Gonalo ""Jayy2s"" Machado to their roster, filling the vacancy created by Miguel ""ms"" Santos' departure last month.",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Ranked 60th in the VRS, GTZ are now:",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Filipe ""NOPEEJ"" Dias
Diogo ""snapy"" Rodrigues
Rafael ""rafaxF"" Faria
Jos ""Linko"" Duro
Gonalo ""Jayy2s"" Machado",https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,Ninjas in Pyjamas's third attempt at making it through the PGL Astana open qualifiers came to an abrupt end with Nuclear TigeRES taking them down in the Round of 32.,https://www.hltv.org/news/41221/short-news-week-12
2025,march,24,Short news: Week 12,"Among other notable teams to fall before the games make it onto HLTV are SINNERS, Bad News Eagles, Johnny Speeds, Inner Circle and Aurora.",https://www.hltv.org/news/41221/short-news-week-12
2025,february,1,"TWISTZZ: ""IT DOES SUCK NOT BEING ABLE TO PLAY CLUJ""","""I wish I could say skipping was the team's decision,"" added the Canadian.",https://www.hltv.org/news/40889/twistzz-it-does-suck-not-being-able-to-play-cluj
2025,february,1,"TWISTZZ: ""IT DOES SUCK NOT BEING ABLE TO PLAY CLUJ""",Liquid qualified for the IEM Katowice stage two with a statement 13-0 victory against Wildcard on Anubis to put their opening-day loss against HEROIC behind them.,https://www.hltv.org/news/40889/twistzz-it-does-suck-not-being-able-to-play-cluj
2025,february,1,"TWISTZZ: ""IT DOES SUCK NOT BEING ABLE TO PLAY CLUJ""","The win helped Liquid take a weight off their shoulders following their decision to skip PGL Cluj-Napoca, which could have meant they would tumble down the rankings in case of a bad result in Katowice.",https://www.hltv.org/news/40889/twistzz-it-does-suck-not-being-able-to-play-cluj
