Year,Month,Date,Rank,Name_of_team,Members,Link
2023,january,2,#1,HEROIC,"{'Name_player_1': ""Casper 'cadiaN' Møller"", 'Link_player_1': 'https://www.hltv.org/player/7964/cadian', 'Name_player_2': ""Martin 'stavn' Lund"", 'Link_player_2': 'https://www.hltv.org/player/10994/stavn', 'Name_player_3': ""René 'TeSeS' Madsen"", 'Link_player_3': 'https://www.hltv.org/player/12018/teses', 'Name_player_4': ""Rasmus 'sjuush' Beck"", 'Link_player_4': 'https://www.hltv.org/player/14148/sjuush', 'Name_player_5': ""Jakob 'jabbi' Nygaard"", 'Link_player_5': 'https://www.hltv.org/player/17956/jabbi'}",https://www.hltv.org/team/7175/heroic
2023,january,2,#2,Outsiders,"{'Name_player_1': ""Evgenii 'FL1T' Lebedev"", 'Link_player_1': 'https://www.hltv.org/player/12732/fl1t', 'Name_player_2': ""Alexey 'Qikert' Golubev"", 'Link_player_2': 'https://www.hltv.org/player/13239/qikert', 'Name_player_3': ""Dzhami 'Jame' Ali"", 'Link_player_3': 'https://www.hltv.org/player/13776/jame', 'Name_player_4': ""David 'n0rb3r7' Danielyan"", 'Link_player_4': 'https://www.hltv.org/player/16612/n0rb3r7', 'Name_player_5': ""Petr 'fame' Bolyshev"", 'Link_player_5': 'https://www.hltv.org/player/20101/fame'}",https://www.hltv.org/team/11595/outsiders
2023,january,2,#3,G2,"{'Name_player_1': ""Nikola 'NiKo' Kovač"", 'Link_player_1': 'https://www.hltv.org/player/3741/niko', 'Name_player_2': ""Nemanja 'huNter-' Kovač"", 'Link_player_2': 'https://www.hltv.org/player/3972/hunter', 'Name_player_3': ""Justin 'jks' Savage"", 'Link_player_3': 'https://www.hltv.org/player/4679/jks', 'Name_player_4': ""Rasmus 'HooXi' Nielsen"", 'Link_player_4': 'https://www.hltv.org/player/10096/hooxi', 'Name_player_5': ""Ilya 'm0NESY' Osipov"", 'Link_player_5': 'https://www.hltv.org/player/19230/m0nesy'}",https://www.hltv.org/team/5995/g2
2023,january,2,#4,Liquid,"{'Name_player_1': ""Nick 'nitr0' Cannella"", 'Link_player_1': 'https://www.hltv.org/player/7687/nitr0', 'Name_player_2': ""Keith 'NAF' Markovic"", 'Link_player_2': 'https://www.hltv.org/player/8520/naf', 'Name_player_3': ""Jonathan 'EliGE' Jablonowski"", 'Link_player_3': 'https://www.hltv.org/player/8738/elige', 'Name_player_4': ""Josh 'oSee' Ohm"", 'Link_player_4': 'https://www.hltv.org/player/13249/osee', 'Name_player_5': ""Mareks 'YEKINDAR' Gaļinskis"", 'Link_player_5': 'https://www.hltv.org/player/13915/yekindar'}",https://www.hltv.org/team/5973/liquid
2023,january,2,#5,FaZe,"{'Name_player_1': ""Finn 'karrigan' Andersen"", 'Link_player_1': 'https://www.hltv.org/player/429/karrigan', 'Name_player_2': ""Håvard 'rain' Nygaard"", 'Link_player_2': 'https://www.hltv.org/player/8183/rain', 'Name_player_3': ""Russel 'Twistzz' Van Dulken"", 'Link_player_3': 'https://www.hltv.org/player/10394/twistzz', 'Name_player_4': ""Robin 'ropz' Kool"", 'Link_player_4': 'https://www.hltv.org/player/11816/ropz', 'Name_player_5': ""Helvijs 'broky' Saukants"", 'Link_player_5': 'https://www.hltv.org/player/18053/broky'}",https://www.hltv.org/team/6667/faze
2023,january,2,#6,FURIA,"{'Name_player_1': ""Andrei 'arT' Piovezan"", 'Link_player_1': 'https://www.hltv.org/player/12521/art', 'Name_player_2': ""Yuri 'yuurih' Santos"", 'Link_player_2': 'https://www.hltv.org/player/12553/yuurih', 'Name_player_3': ""Kaike 'KSCERATO' Cerato"", 'Link_player_3': 'https://www.hltv.org/player/15631/kscerato', 'Name_player_4': ""Rafael 'saffee' Costa"", 'Link_player_4': 'https://www.hltv.org/player/18835/saffee', 'Name_player_5': ""André 'drop' Abreu"", 'Link_player_5': 'https://www.hltv.org/player/19750/drop'}",https://www.hltv.org/team/8297/furia
2023,january,2,#7,MOUZ,"{'Name_player_1': ""Christopher 'dexter' Nong"", 'Link_player_1': 'https://www.hltv.org/player/9115/dexter', 'Name_player_2': ""David 'frozen' Čerňanský"", 'Link_player_2': 'https://www.hltv.org/player/9960/frozen', 'Name_player_3': ""Jon 'JDC' de Castro"", 'Link_player_3': 'https://www.hltv.org/player/14929/jdc', 'Name_player_4': ""Ádám 'torzsi' Torzsás"", 'Link_player_4': 'https://www.hltv.org/player/18072/torzsi', 'Name_player_5': ""Dorian 'xertioN' Berman"", 'Link_player_5': 'https://www.hltv.org/player/20312/xertion'}",https://www.hltv.org/team/4494/mouz
2023,january,2,#8,Cloud9,"{'Name_player_1': ""Abay 'HObbit' Khassenov"", 'Link_player_1': 'https://www.hltv.org/player/8528/hobbit', 'Name_player_2': ""Timofey 'interz' Yakushin"", 'Link_player_2': 'https://www.hltv.org/player/15071/interz', 'Name_player_3': ""Sergey 'Ax1Le' Rykhtorov"", 'Link_player_3': 'https://www.hltv.org/player/16555/ax1le', 'Name_player_4': ""Dmitry 'sh1ro' Sokolov"", 'Link_player_4': 'https://www.hltv.org/player/16920/sh1ro', 'Name_player_5': ""Vladislav 'nafany' Gorshkov"", 'Link_player_5': 'https://www.hltv.org/player/16921/nafany'}",https://www.hltv.org/team/5752/cloud9
2023,january,2,#9,Natus Vincere,"{'Name_player_1': ""Oleksandr 's1mple' Kostyliev"", 'Link_player_1': 'https://www.hltv.org/player/7998/s1mple', 'Name_player_2': ""Denis 'electroNic' Sharipov"", 'Link_player_2': 'https://www.hltv.org/player/8918/electronic', 'Name_player_3': ""Ilya 'Perfecto' Zalutskiy"", 'Link_player_3': 'https://www.hltv.org/player/16947/perfecto', 'Name_player_4': ""Valeriy 'b1t' Vakhovskiy"", 'Link_player_4': 'https://www.hltv.org/player/18987/b1t', 'Name_player_5': ""Andrii 'npl' Kukharskyi"", 'Link_player_5': 'https://www.hltv.org/player/21708/npl'}",https://www.hltv.org/team/4608/natus-vincere
2023,january,2,#10,fnatic,"{'Name_player_1': ""Freddy 'KRIMZ' Johansson"", 'Link_player_1': 'https://www.hltv.org/player/7528/krimz', 'Name_player_2': ""Dion 'FASHR' Derksen"", 'Link_player_2': 'https://www.hltv.org/player/11954/fashr', 'Name_player_3': ""Nico 'nicoodoz' Tamjidi"", 'Link_player_3': 'https://www.hltv.org/player/13602/nicoodoz', 'Name_player_4': ""Fredrik 'roeJ' Jørgensen"", 'Link_player_4': 'https://www.hltv.org/player/14419/roej', 'Name_player_5': ""William 'mezii' Merriman"", 'Link_player_5': 'https://www.hltv.org/player/18462/mezii'}",https://www.hltv.org/team/4991/fnatic
2023,january,2,#11,Vitality,"{'Name_player_1': ""Dan 'apEX' Madesclaire"", 'Link_player_1': 'https://www.hltv.org/player/7322/apex', 'Name_player_2': ""Peter 'dupreeh' Rasmussen"", 'Link_player_2': 'https://www.hltv.org/player/7398/dupreeh', 'Name_player_3': ""Emil 'Magisk' Reif"", 'Link_player_3': 'https://www.hltv.org/player/9032/magisk', 'Name_player_4': ""Mathieu 'ZywOo' Herbaut"", 'Link_player_4': 'https://www.hltv.org/player/11893/zywoo', 'Name_player_5': ""Lotan 'Spinx' Giladi"", 'Link_player_5': 'https://www.hltv.org/player/18221/spinx'}",https://www.hltv.org/team/9565/vitality
2023,january,2,#12,OG,"{'Name_player_1': ""Nemanja 'nexa' Isaković"", 'Link_player_1': 'https://www.hltv.org/player/9618/nexa', 'Name_player_2': ""Adam 'NEOFRAG' Zouhar"", 'Link_player_2': 'https://www.hltv.org/player/15821/neofrag', 'Name_player_3': ""Shahar 'flameZ' Shushan"", 'Link_player_3': 'https://www.hltv.org/player/16693/flamez', 'Name_player_4': ""Abdul 'degster' Gasanov"", 'Link_player_4': 'https://www.hltv.org/player/17306/degster', 'Name_player_5': ""Maciej 'F1KU' Miklas"", 'Link_player_5': 'https://www.hltv.org/player/19044/f1ku'}",https://www.hltv.org/team/10503/og
2023,january,2,#13,Spirit,"{'Name_player_1': ""Leonid 'chopper' Vishnyakov"", 'Link_player_1': 'https://www.hltv.org/player/7716/chopper', 'Name_player_2': ""Boris 'magixx' Vorobiev"", 'Link_player_2': 'https://www.hltv.org/player/18317/magixx', 'Name_player_3': ""Pavel 'S1ren' Ogloblin"", 'Link_player_3': 'https://www.hltv.org/player/18506/s1ren', 'Name_player_4': ""Robert 'Patsi' Isyanov"", 'Link_player_4': 'https://www.hltv.org/player/19673/patsi', 'Name_player_5': ""Ihor 'w0nderful' Zhdanov"", 'Link_player_5': 'https://www.hltv.org/player/20127/w0nderful'}",https://www.hltv.org/team/7020/spirit
2023,january,2,#14,ENCE,"{'Name_player_1': ""Marco 'Snappi' Pfeiffer"", 'Link_player_1': 'https://www.hltv.org/player/922/snappi', 'Name_player_2': ""Valdemar 'valde' Bjørn Vangså"", 'Link_player_2': 'https://www.hltv.org/player/9031/valde', 'Name_player_3': ""Pavle 'Maden' Bošković"", 'Link_player_3': 'https://www.hltv.org/player/11777/maden', 'Name_player_4': ""Paweł 'dycha' Dycha"", 'Link_player_4': 'https://www.hltv.org/player/16080/dycha', 'Name_player_5': ""Álvaro 'SunPayus' García"", 'Link_player_5': 'https://www.hltv.org/player/19164/sunpayus'}",https://www.hltv.org/team/4869/ence
2023,january,2,#15,BIG,"{'Name_player_1': ""Johannes 'tabseN' Wodarz"", 'Link_player_1': 'https://www.hltv.org/player/5794/tabsen', 'Name_player_2': ""Florian 'syrsoN' Rische"", 'Link_player_2': 'https://www.hltv.org/player/7266/syrson', 'Name_player_3': ""Nils 'k1to' Gruhne"", 'Link_player_3': 'https://www.hltv.org/player/12781/k1to', 'Name_player_4': ""Karim 'Krimbo' Moussa"", 'Link_player_4': 'https://www.hltv.org/player/19899/krimbo', 'Name_player_5': ""Elias 's1n' Stein"", 'Link_player_5': 'https://www.hltv.org/player/20104/s1n'}",https://www.hltv.org/team/7532/big
