iter	MultiClass
0	1.381269769
1	1.375819389
2	1.37116864
3	1.366185202
4	1.362221297
5	1.35721366
6	1.351854663
7	1.346947084
8	1.342463602
9	1.339310838
10	1.335014913
11	1.330440937
12	1.325392424
13	1.321361678
14	1.31750332
15	1.314456591
16	1.310262848
17	1.305372086
18	1.301861781
19	1.298836888
20	1.294610497
21	1.290877992
22	1.286896906
23	1.283330502
24	1.279790701
25	1.276289332
26	1.272450813
27	1.269112745
28	1.265735425
29	1.262133189
30	1.258636504
31	1.254890959
32	1.251229971
33	1.248110384
34	1.24519688
35	1.241674389
36	1.238565754
37	1.236328893
38	1.232817061
39	1.229279802
40	1.226544921
41	1.223583905
42	1.220472045
43	1.217891908
44	1.214545805
45	1.211445379
46	1.208175145
47	1.204874987
48	1.201889319
49	1.19867486
50	1.195976666
51	1.193947797
52	1.191382041
53	1.18881667
54	1.185304093
55	1.182370764
56	1.180179815
57	1.176749817
58	1.17358014
59	1.171234083
60	1.169051455
61	1.166644966
62	1.1636026
63	1.161132001
64	1.15858882
65	1.155836993
66	1.153624483
67	1.150671407
68	1.148646214
69	1.146351579
70	1.14462827
71	1.142526253
72	1.139701774
73	1.138067684
74	1.135143672
75	1.132626851
76	1.130004053
77	1.127673378
78	1.125750602
79	1.123450057
80	1.121541335
81	1.119663109
82	1.117909192
83	1.115766312
84	1.113881915
85	1.111326373
86	1.109240632
87	1.107990345
88	1.105771552
89	1.104004319
90	1.101339934
91	1.09935626
92	1.097417441
93	1.095342507
94	1.093236043
95	1.091159585
96	1.089564948
97	1.087963008
98	1.086085433
99	1.08437058
100	1.082541239
101	1.080944218
102	1.079497931
103	1.077944967
104	1.076722228
105	1.074820218
106	1.072880135
107	1.070382408
108	1.067705097
109	1.065794759
110	1.064142806
111	1.062145433
112	1.060078122
113	1.058438447
114	1.056359971
115	1.055137063
116	1.053580047
117	1.052298673
118	1.051000914
119	1.049026481
120	1.047212472
121	1.045564635
122	1.043706896
123	1.041858531
124	1.040356519
125	1.03909924
126	1.03718313
127	1.035180497
128	1.033166588
129	1.031848779
130	1.029906034
131	1.028325032
132	1.02706112
133	1.025016544
134	1.023162674
135	1.021570986
136	1.019513718
137	1.018310623
138	1.016668432
139	1.014798142
140	1.01353536
141	1.011688273
142	1.009670226
143	1.007911657
144	1.006292942
145	1.005214762
146	1.003774882
147	1.002133264
148	1.000346467
149	0.9991448101
150	0.9974104997
151	0.9957255028
152	0.9944855603
153	0.9929917107
154	0.9913476906
155	0.9900879804
156	0.9886959014
157	0.9871246789
158	0.9855173421
159	0.9843335956
160	0.9834190461
161	0.981705443
162	0.9800790259
163	0.9786882675
164	0.9769628818
165	0.9755981731
166	0.9743111415
167	0.9728950969
168	0.9711559106
169	0.9694583914
170	0.9685021031
171	0.966904482
172	0.9656727719
173	0.964374402
174	0.9632029966
175	0.9616276478
176	0.9601752898
177	0.9587034328
178	0.9571351302
179	0.9562134472
180	0.9553580597
181	0.9539007748
182	0.9529151441
183	0.9515820293
184	0.9503734301
185	0.9492402337
186	0.9477064429
187	0.9461618397
188	0.9445997242
189	0.9432495835
190	0.9421072953
191	0.9405414357
192	0.9394795716
193	0.9381493362
194	0.9367180177
195	0.9350618215
196	0.9334588
197	0.932695469
198	0.9312056848
199	0.9299586692
200	0.9283241772
201	0.9265616006
202	0.9253799769
203	0.924269919
204	0.9231610542
205	0.9218470609
206	0.9205805476
207	0.9192962457
208	0.9179424052
209	0.9167010606
210	0.9154032007
211	0.9140003194
212	0.9129400706
213	0.9115452272
214	0.910322841
215	0.9088680068
216	0.907734039
217	0.9066187361
218	0.9052057927
219	0.9038875927
220	0.9024624319
221	0.9013028352
222	0.9001301754
223	0.8986971859
224	0.8971974832
225	0.8961483763
226	0.8950037827
227	0.8938377621
228	0.8927847499
229	0.8917516366
230	0.8905927224
231	0.8895569966
232	0.8885453207
233	0.8873112522
234	0.885999612
235	0.8848431265
236	0.8833939386
237	0.8821258255
238	0.8812239406
239	0.8804567482
240	0.8793786345
241	0.8783312615
242	0.877258094
243	0.8761321975
244	0.8747296772
245	0.8738318781
246	0.8724874841
247	0.8714051015
248	0.8704510833
249	0.8695143832
250	0.8687334233
251	0.8679367522
252	0.8669297917
253	0.8658908111
254	0.864884175
255	0.8641869493
256	0.863241039
257	0.8618151716
258	0.860619561
259	0.8596032343
260	0.8587536119
261	0.8576590719
262	0.8567137097
263	0.8555997505
264	0.8543008866
265	0.8533959257
266	0.852545502
