iter	Passed	Remaining
0	125	125628
1	236	118026
2	337	112201
3	440	109764
4	555	110624
5	674	111742
6	784	111217
7	900	111691
8	1005	110723
9	1108	109754
10	1208	108653
11	1314	108266
12	1418	107669
13	1518	106913
14	1625	106749
15	1725	106120
16	1830	105821
17	1931	105364
18	2031	104902
19	2131	104428
20	2240	104429
21	2336	103865
22	2440	103687
23	2543	103430
24	2651	103425
25	2799	104868
26	2906	104754
27	3001	104206
28	3113	104244
29	3227	104350
30	3341	104446
31	3444	104205
32	3550	104035
33	3654	103823
34	3755	103539
35	3854	103209
36	3958	103016
37	4056	102702
38	4158	102473
39	4260	102247
40	4356	101896
41	4461	101765
42	4561	101527
43	4670	101478
44	4781	101469
45	4892	101457
46	5001	101421
47	5121	101566
48	5235	101607
49	5342	101516
50	5453	101469
51	5560	101364
52	5667	101259
53	5773	101141
54	5874	100932
55	5984	100888
56	6081	100604
57	6184	100441
58	6294	100392
59	6403	100321
60	6509	100209
61	6607	99969
62	6707	99762
63	6805	99526
64	6909	99388
65	7006	99149
66	7109	99002
67	7212	98855
68	7316	98726
69	7415	98520
70	7517	98362
71	7627	98306
72	7724	98084
73	7817	97828
74	7909	97555
75	8012	97413
76	8109	97208
77	8205	96993
78	8311	96894
79	8417	96802
80	8517	96632
81	8628	96594
82	8740	96571
83	8838	96380
84	8940	96241
85	9042	96105
86	9133	95852
87	9233	95694
88	9349	95704
89	9464	95696
90	9566	95562
91	9675	95489
92	9783	95412
93	9882	95246
94	9991	95178
95	10100	95110
96	10204	94993
97	10318	94969
98	10423	94867
99	10531	94779
100	10638	94688
101	10743	94583
102	10846	94461
103	10949	94335
104	11044	94137
105	11160	94128
106	11268	94043
107	11369	93906
108	11473	93792
109	11583	93718
110	11676	93517
111	11784	93436
112	11878	93243
113	11974	93063
114	12083	92987
115	12182	92839
116	12277	92658
117	12379	92530
118	12474	92350
119	12582	92270
120	12686	92157
121	12783	91998
122	12886	91883
123	12985	91737
124	13087	91611
125	13187	91474
126	13285	91322
127	13393	91245
128	13495	91123
129	13595	90984
130	13702	90896
131	13797	90728
132	13896	90589
133	14005	90515
134	14106	90384
135	14210	90280
136	14312	90156
137	14415	90044
138	14522	89954
139	14627	89854
140	14723	89699
141	14821	89553
142	14926	89452
143	15022	89300
144	15116	89134
145	15216	89005
146	15314	88864
147	15407	88696
148	15529	88692
149	15635	88598
150	15730	88447
151	15833	88333
152	15936	88226
153	16034	88086
154	16138	87982
155	16234	87831
156	16328	87672
157	16424	87529
158	16519	87378
159	16619	87252
160	16718	87122
161	16816	86988
162	16915	86859
163	17019	86758
164	17135	86718
165	17244	86636
166	17347	86530
167	17464	86489
168	17567	86381
169	17669	86269
170	17796	86274
171	17904	86191
172	18013	86109
173	18107	85958
174	18205	85824
175	18301	85685
176	18420	85652
177	18536	85603
178	18664	85605
179	18785	85577
180	18885	85454
181	18993	85365
182	19100	85271
183	19206	85175
184	19308	85059
185	19408	84938
186	19515	84846
187	19615	84724
188	19722	84627
189	19836	84567
190	19943	84474
191	20040	84338
192	20142	84223
193	20242	84098
194	20352	84021
195	20458	83923
196	20560	83808
197	20665	83705
198	20771	83609
199	20872	83491
200	20975	83379
201	21066	83223
202	21165	83098
203	21260	82956
204	21357	82825
205	21460	82714
206	21566	82619
207	21670	82516
208	21769	82391
209	21881	82315
210	21992	82238
211	22095	82129
212	22197	82017
213	22302	81916
214	22415	81843
215	22526	81761
216	22640	81692
217	22740	81573
218	22835	81435
219	22934	81311
220	23033	81189
221	23143	81106
222	23249	81007
223	23357	80916
224	23464	80823
225	23566	80711
226	23669	80602
227	23769	80482
228	23869	80365
229	23972	80255
230	24070	80131
231	24181	80048
232	24294	79972
233	24396	79861
234	24491	79728
235	24595	79621
236	24698	79513
237	24803	79414
238	24914	79329
239	25012	79207
240	25120	79114
241	25230	79026
242	25333	78919
243	25441	78825
244	25535	78691
245	25638	78582
246	25735	78456
247	25834	78337
248	25930	78206
249	26037	78112
250	26138	77999
251	26248	77912
252	26350	77800
253	26450	77684
254	26553	77577
255	26654	77464
256	26762	77371
257	26868	77273
258	26970	77161
259	27071	77048
260	27168	76924
261	27266	76803
262	27370	76698
263	27469	76580
264	27570	76469
265	27667	76344
266	27767	76231
267	27864	76106
268	27975	76023
269	28083	75929
270	28186	75821
271	28284	75703
272	28378	75573
273	28484	75473
274	28593	75381
275	28692	75265
276	28797	75165
277	28907	75075
278	29009	74967
279	29013	74607
280	29108	74481
281	29202	74353
282	29300	74235
283	29398	74116
284	29496	74000
285	29595	73885
286	29699	73782
287	29794	73657
288	29892	73542
289	29996	73440
290	30115	73375
291	30223	73282
292	30330	73186
293	30428	73070
294	30431	72725
295	30542	72640
296	30653	72556
297	30757	72454
298	30866	72367
299	30976	72279
300	31090	72200
301	31196	72104
302	31304	72010
303	31408	71908
304	31525	71836
305	31631	71740
306	31730	71626
307	31840	71536
308	31942	71430
309	32054	71346
310	32164	71258
311	32268	71155
312	32371	71051
313	32469	70936
314	32573	70835
315	32670	70718
316	32778	70623
317	32879	70516
318	32979	70404
319	33078	70292
320	33174	70173
321	33285	70084
322	33387	69979
323	33483	69861
324	33585	69754
325	33692	69659
326	33802	69568
327	33903	69461
328	33999	69342
329	34095	69223
330	34197	69118
331	34296	69005
332	34389	68882
333	34487	68767
334	34608	68700
335	34725	68623
336	34825	68513
337	34923	68400
338	35024	68292
339	35131	68195
340	35233	68090
341	35336	67987
342	35435	67875
343	35532	67760
344	35642	67670
345	35746	67566
346	35853	67470
347	35952	67360
348	36050	67246
349	36159	67153
350	36258	67041
351	36362	66940
352	36459	66824
353	36562	66722
354	36665	66617
355	36776	66527
356	36876	66419
357	36976	66309
358	37082	66211
359	37180	66099
360	37275	65980
361	37374	65870
362	37482	65775
363	37587	65674
364	37689	65570
365	37790	65461
366	37889	65351
367	37988	65241
368	38085	65126
369	38189	65025
370	38291	64919
371	38397	64821
372	38500	64717
373	38605	64618
374	38712	64520
375	38809	64408
376	38911	64301
377	39007	64187
378	39112	64086
379	39229	64006
380	39334	63905
381	39436	63800
382	39535	63690
383	39635	63581
384	39735	63473
385	39834	63363
386	39941	63267
387	40046	63165
388	40149	63062
389	40257	62967
390	40366	62871
391	40479	62783
392	40593	62697
393	40696	62594
394	40799	62489
395	40909	62397
396	41011	62292
397	41118	62194
398	41216	62083
399	41323	61985
400	41428	61884
401	41537	61789
402	41636	61679
403	41742	61581
404	41847	61480
405	41945	61367
406	42057	61278
407	42153	61163
408	42247	61047
409	42354	60949
410	42461	60851
411	42565	60749
412	42669	60646
413	42773	60544
414	42872	60434
415	42971	60325
416	43069	60214
417	43161	60095
418	43256	59980
419	43359	59877
420	43457	59766
421	43561	59664
422	43670	59569
423	43771	59463
424	43870	59353
425	43972	59249
426	44075	59146
427	44177	59040
428	44280	58936
429	44385	58836
430	44483	58727
431	44583	58618
432	44693	58524
433	44788	58410
434	44891	58306
435	44996	58206
436	45098	58102
437	45197	57993
438	45301	57890
439	45411	57796
440	45512	57690
441	45627	57601
442	45743	57514
443	45863	57433
444	45981	57347
445	46118	57286
446	46252	57220
447	46403	57175
448	46534	57105
449	46645	57011
450	46757	56917
451	46875	56830
452	46981	56730
453	47087	56628
454	47218	56558
455	47340	56476
456	47451	56380
457	47568	56293
